Gene,logFC,P-value,Adj_P
ILMN_1730986,-0.245470562735294,2.6827207418626802e-05,0.0027167706589709376
ILMN_1726460,-0.4761798378235298,2.790971843953518e-05,0.002804820177530386
ILMN_1804248,-0.22530189568627357,3.010570546050559e-05,0.002968482246540037
ILMN_3281594,-0.2642789413725488,2.9773517267120228e-05,0.002968482246540037
ILMN_2192694,-0.24736553741176337,3.0214707256845038e-05,0.002968482246540037
ILMN_1736500,-0.12014431029411732,3.052174638060242e-05,0.0029764354896343027
ILMN_1710078,-0.29018964398039326,3.0788735177462945e-05,0.0029803948427301447
ILMN_1787370,0.18015000440196172,3.154172909900851e-05,0.0030089139454700774
ILMN_1747058,-0.23614886529411905,3.1769011653652924e-05,0.0030089139454700774
ILMN_1711573,-0.4244283887941176,3.173233375162646e-05,0.0030089139454700774
ILMN_3290100,-0.39418018277450884,3.219405799723542e-05,0.003027391239525745
ILMN_1669516,0.2285224125196077,3.248822970679006e-05,0.0030333868375169585
ILMN_3298215,-0.33261361281372714,3.316274412114513e-05,0.0030745600447526457
ILMN_1734288,0.215482514803921,3.340909066702371e-05,0.003075739011408162
ILMN_1664167,-0.2735598317156871,3.445724851564755e-05,0.0031482575473830332
ILMN_1679727,0.26930025558823445,3.51533505100878e-05,0.0031482575473830332
ILMN_1811102,0.18889909753921597,3.487602608144166e-05,0.0031482575473830332
ILMN_2195236,-0.21606585011765045,3.5023747331122055e-05,0.0031482575473830332
ILMN_1651628,0.32237889261764785,3.546176786318062e-05,0.0031544200940457623
ILMN_1652736,-0.34564638483333354,3.6022612283201816e-05,0.0031828032933446434
ILMN_3271122,-0.3236618068529413,3.639469658353971e-05,0.003191716017856789
ILMN_1751400,-0.4109166105980382,3.68508040041194e-05,0.003191716017856789
ILMN_2334587,-0.17187711110784232,3.6623482764438483e-05,0.003191716017856789
ILMN_3200597,-0.2683929942352945,3.878990393638324e-05,0.003337706440016244
ILMN_2319996,-0.13306076901960928,3.971076763012422e-05,0.003372853263552163
ILMN_3239925,-0.30965799654901893,3.946098382543547e-05,0.003372853263552163
ILMN_3192316,-0.3532934761176456,4.029194429873566e-05,0.0034002785044413776
ILMN_1781454,0.18474366311764712,4.086625207952532e-05,0.0034267783988977765
ILMN_1661173,0.1597454298235288,4.234947419717487e-05,0.0035286761253532097
ILMN_2375825,0.18289657012744875,4.28656166560412e-05,0.0035367658995107505
ILMN_2154566,-0.25541910509803856,4.315972856099032e-05,0.0035367658995107505
ILMN_1674243,-0.2676565054607831,4.3252511190370746e-05,0.0035367658995107505
ILMN_2096116,-0.23806759084313533,4.432701069475164e-05,0.0035482102991779303
ILMN_1760089,-0.29850096094117706,4.425046463540868e-05,0.0035482102991779303
ILMN_1721621,-0.2851035950294101,4.447054305843969e-05,0.0035482102991779303
ILMN_1659923,0.3487834427352947,4.4358315120567306e-05,0.0035482102991779303
ILMN_3289171,-0.39580569037254865,4.500246685110133e-05,0.003569020940329813
ILMN_2128967,-0.27245069438235436,4.597157405151512e-05,0.003602474835644027
ILMN_3287996,-0.22930752688235323,4.576364218331829e-05,0.003602474835644027
ILMN_1705151,-0.25409321076470803,4.652972225529843e-05,0.0036214709611514617
ILMN_1751561,0.3147706940392174,4.676415217590189e-05,0.0036214709611514617
ILMN_3233442,-0.3552293745392161,4.947038979531231e-05,0.0037317661339712573
ILMN_1652928,0.3670452696078432,4.960570250246639e-05,0.0037317661339712573
ILMN_1733248,-0.24632769939215482,4.907258907007485e-05,0.0037317661339712573
ILMN_1658995,0.29796495219607877,4.865110755133826e-05,0.0037317661339712573
